samsung,4693069
apple,4159400
xiaomi,3094384
huawei,1149180
oppo,751991
meizu,193813
vivo,151502
oneplus,107359
honor,105059
nokia,91209
sony,78019
tp-link,27748
bq,26926
lg,23795
inoi,21689
doogee,21316
,20623
google,18592
umi,15897
prestigio,13939
haier,12953
zte,9617
tecno,6937
htc,6428
blackberry,4674
asus,3965
gionee,3582
jinga,3350
irbis,3186
nubia,2979
fly,2196
texet,1661
leeco,1603
vertex,1341
philips,678
oukitel,519
micromax,496
lenovo,396
leagoo,210
hiper,48
ark,42
motorola,15
bravis,1
